Department,GivenName,Manager,Name,OfficePhone,SamAccountName,sn,Title
,SharePoint,,SharePoint Install,,svcspsetup,Install,
,SharePoint,,SharePoint Farm,,svcspfarm,Farm,
,SharePoint,,SharePoint Services,,svcspspservices,Services,
,SharePoint,,SharePoint MySites,,svcspmysites,MySites,
,SharePoint,,SharePoint Content,,svcspcontent,Content,
,SharePoint,,SharePoint Content Access,,svcspcontentacc,Content Access,
,SharePoint,,SharePoint UPS,,svcspups,UPS,
,SharePoint,,SharePoint Super User,,svcspsuperuser,Super User,
,SharePoint,,SharePoint Super Reader,,svcspsuperread,Super Reader,
